Language	Text	Spker	Code_Spker	Sex	Duration	NbSyllables	SpeechRate	ShannonEntropy	ConditionalEntropy	InfoRate_ShannonEntropy	InfoRate_ConditionalEntropy
KOR	O1	M4(Ju)	KOR_M4(Ju)	M	12.23	86	7.03	8.05	5.56	56.61 	39.12 
KOR	O2	M4(Ju)	KOR_M4(Ju)	M	15.3	105	6.86	8.05	5.56	55.25 	38.18 
KOR	O3	M4(Ju)	KOR_M4(Ju)	M	15.2	116	7.63	8.05	5.56	61.43 	42.46 
KOR	O4	M4(Ju)	KOR_M4(Ju)	M	18.87	136	7.21	8.05	5.56	58.02 	40.10 
KOR	O6	M4(Ju)	KOR_M4(Ju)	M	14.48	107	7.39	8.05	5.56	59.49 	41.11 
KOR	O8	M4(Ju)	KOR_M4(Ju)	M	18.41	132	7.17	8.05	5.56	57.72 	39.89 
KOR	O9	M4(Ju)	KOR_M4(Ju)	M	13.00	86	6.62	8.05	5.56	53.25 	36.81 
KOR	P0	M4(Ju)	KOR_M4(Ju)	M	19.52	133	6.81	8.05	5.56	54.85 	37.91 
KOR	P1	M4(Ju)	KOR_M4(Ju)	M	16.82	124	7.37	8.05	5.56	59.35 	41.02 
KOR	P2	M4(Ju)	KOR_M4(Ju)	M	17.04	128	7.51	8.05	5.56	60.47 	41.79 
KOR	P3	M4(Ju)	KOR_M4(Ju)	M	17.21	117	6.8	8.05	5.56	54.73 	37.82 
KOR	P8	M4(Ju)	KOR_M4(Ju)	M	15.49	115	7.42	8.05	5.56	59.76 	41.31 
KOR	P9	M4(Ju)	KOR_M4(Ju)	M	17.42	127	7.29	8.05	5.56	58.69 	40.56 
KOR	Q0	M4(Ju)	KOR_M4(Ju)	M	15.13	112	7.4	8.05	5.56	59.59 	41.19 
KOR	Q1	M4(Ju)	KOR_M4(Ju)	M	15.43	115	7.45	8.05	5.56	60.00 	41.47 
KOR	O1	M5(Jh)	KOR_M5(Jh)	M	13.63	86	6.31	8.05	5.56	50.79 	35.11 
KOR	O2	M5(Jh)	KOR_M5(Jh)	M	18.12	105	5.79	8.05	5.56	46.65 	32.24 
KOR	O3	M5(Jh)	KOR_M5(Jh)	M	19.72	116	5.88	8.05	5.56	47.35 	32.73 
KOR	O4	M5(Jh)	KOR_M5(Jh)	M	20.58	136	6.61	8.05	5.56	53.20 	36.77 
KOR	O6	M5(Jh)	KOR_M5(Jh)	M	16.23	107	6.59	8.05	5.56	53.07 	36.68 
KOR	O8	M5(Jh)	KOR_M5(Jh)	M	20.75	132	6.36	8.05	5.56	51.21 	35.39 
KOR	O9	M5(Jh)	KOR_M5(Jh)	M	14.41	86	5.97	8.05	5.56	48.04 	33.21 
KOR	P0	M5(Jh)	KOR_M5(Jh)	M	20.73	133	6.42	8.05	5.56	51.65 	35.70 
KOR	P1	M5(Jh)	KOR_M5(Jh)	M	20.00	124	6.2	8.05	5.56	49.91 	34.50 
KOR	P2	M5(Jh)	KOR_M5(Jh)	M	21.27	128	6.02	8.05	5.56	48.44 	33.48 
KOR	P3	M5(Jh)	KOR_M5(Jh)	M	20.29	117	5.77	8.05	5.56	46.42 	32.08 
KOR	P8	M5(Jh)	KOR_M5(Jh)	M	17.47	115	6.58	8.05	5.56	52.99 	36.62 
KOR	P9	M5(Jh)	KOR_M5(Jh)	M	20.82	127	6.1	8.05	5.56	49.10 	33.94 
KOR	Q0	M5(Jh)	KOR_M5(Jh)	M	17.52	112	6.39	8.05	5.56	51.46 	35.57 
KOR	Q1	M5(Jh)	KOR_M5(Jh)	M	17.92	115	6.42	8.05	5.56	51.66 	35.71 
SPA	O1	F1(Am)	SPA_F1(Am)	F	11.4	94	8.25	8.32	5.43	68.60 	44.80 
SPA	O2	F1(Am)	SPA_F1(Am)	F	17.51	135	7.71	8.32	5.43	64.15 	41.89 
SPA	O3	F1(Am)	SPA_F1(Am)	F	14.89	111	7.45	8.32	5.43	62.02 	40.51 
SPA	O4	F1(Am)	SPA_F1(Am)	F	19.35	152	7.86	8.32	5.43	65.36 	42.68 
SPA	O6	F1(Am)	SPA_F1(Am)	F	12.68	103	8.12	8.32	5.43	67.58 	44.14 
SPA	O8	F1(Am)	SPA_F1(Am)	F	16.85	136	8.07	8.32	5.43	67.15 	43.86 
SPA	O9	F1(Am)	SPA_F1(Am)	F	9.29	79	8.5	8.32	5.43	70.75 	46.21 
SPA	P0	F1(Am)	SPA_F1(Am)	F	20.99	153	7.29	8.32	5.43	60.65 	39.61 
SPA	P1	F1(Am)	SPA_F1(Am)	F	18.17	137	7.54	8.32	5.43	62.73 	40.97 
SPA	P2	F1(Am)	SPA_F1(Am)	F	14.14	120	8.49	8.32	5.43	70.61 	46.11 
SPA	P3	F1(Am)	SPA_F1(Am)	F	16.22	119	7.34	8.32	5.43	61.04 	39.86 
SPA	P8	F1(Am)	SPA_F1(Am)	F	11.54	93	8.06	8.32	5.43	67.05 	43.79 
SPA	P9	F1(Am)	SPA_F1(Am)	F	15.26	119	7.8	8.32	5.43	64.88 	42.37 
SPA	Q1	F1(Am)	SPA_F1(Am)	F	10.08	81	8.04	8.32	5.43	66.86 	43.66 
SPA	O1	F1(Su)	SPA_F1(Su)	F	11.73	94	8.01	8.32	5.43	66.67 	43.54 
SPA	O2	F1(Su)	SPA_F1(Su)	F	17.5	135	7.71	8.32	5.43	64.18 	41.92 
SPA	O3	F1(Su)	SPA_F1(Su)	F	14.71	111	7.55	8.32	5.43	62.78 	41.00 
SPA	O4	F1(Su)	SPA_F1(Su)	F	19.41	152	7.83	8.32	5.43	65.15 	42.55 
SPA	O6	F1(Su)	SPA_F1(Su)	F	12.92	103	7.97	8.32	5.43	66.33 	43.32 
SPA	O8	F1(Su)	SPA_F1(Su)	F	17.12	136	7.94	8.32	5.43	66.09 	43.16 
SPA	O9	F1(Su)	SPA_F1(Su)	F	9.5	79	8.32	8.32	5.43	69.19 	45.19 
SPA	P0	F1(Su)	SPA_F1(Su)	F	20.97	153	7.3	8.32	5.43	60.70 	39.65 
SPA	P1	F1(Su)	SPA_F1(Su)	F	17.72	137	7.73	8.32	5.43	64.33 	42.01 
SPA	P2	F1(Su)	SPA_F1(Su)	F	14.51	120	8.27	8.32	5.43	68.81 	44.94 
SPA	P3	F1(Su)	SPA_F1(Su)	F	14.86	119	8.01	8.32	5.43	66.63 	43.51 
SPA	P8	F1(Su)	SPA_F1(Su)	F	12.8	93	7.27	8.32	5.43	60.45 	39.48 
SPA	P9	F1(Su)	SPA_F1(Su)	F	16.01	119	7.43	8.32	5.43	61.84 	40.39 
SPA	Q0	F1(Su)	SPA_F1(Su)	F	15.81	126	7.97	8.32	5.43	66.31 	43.30 
SPA	Q1	F1(Su)	SPA_F1(Su)	F	10.65	81	7.61	8.32	5.43	63.28 	41.33 
SPA	O1	F2(De)	SPA_F2(De)	F	11.39	94	8.25	8.32	5.43	68.66 	44.84 
SPA	O2	F2(De)	SPA_F2(De)	F	16.52	135	8.17	8.32	5.43	67.99 	44.40 
SPA	O3	F2(De)	SPA_F2(De)	F	13.96	111	7.95	8.32	5.43	66.15 	43.20 
SPA	O4	F2(De)	SPA_F2(De)	F	18.75	152	8.11	8.32	5.43	67.45 	44.05 
SPA	O6	F2(De)	SPA_F2(De)	F	12.18	103	8.46	8.32	5.43	70.36 	45.95 
SPA	O8	F2(De)	SPA_F2(De)	F	16.9	136	8.05	8.32	5.43	66.95 	43.73 
SPA	O9	F2(De)	SPA_F2(De)	F	9.68	79	8.16	8.32	5.43	67.90 	44.35 
SPA	P0	F2(De)	SPA_F2(De)	F	20.91	153	7.32	8.32	5.43	60.88 	39.76 
SPA	P1	F2(De)	SPA_F2(De)	F	17.12	137	8.00	8.32	5.43	66.58 	43.48 
SPA	P2	F2(De)	SPA_F2(De)	F	14.12	120	8.5	8.32	5.43	70.71 	46.18 
SPA	P3	F2(De)	SPA_F2(De)	F	14.58	119	8.16	8.32	5.43	67.91 	44.35 
SPA	P8	F2(De)	SPA_F2(De)	F	12.02	93	7.74	8.32	5.43	64.37 	42.04 
SPA	P9	F2(De)	SPA_F2(De)	F	15.52	119	7.67	8.32	5.43	63.79 	41.66 
SPA	Q0	F2(De)	SPA_F2(De)	F	15.73	126	8.01	8.32	5.43	66.64 	43.52 
SPA	Q1	F2(De)	SPA_F2(De)	F	10.54	81	7.69	8.32	5.43	63.94 	41.76 
SPA	O1	F3(En)	SPA_F3(En)	F	13.03	94	7.21	8.32	5.43	60.02 	39.20 
SPA	O2	F3(En)	SPA_F3(En)	F	18.59	135	7.26	8.32	5.43	60.42 	39.46 
SPA	O3	F3(En)	SPA_F3(En)	F	15.74	111	7.05	8.32	5.43	58.67 	38.32 
SPA	O4	F3(En)	SPA_F3(En)	F	21.07	152	7.21	8.32	5.43	60.02 	39.20 
SPA	O6	F3(En)	SPA_F3(En)	F	12.88	103	8.00	8.32	5.43	66.53 	43.45 
SPA	O8	F3(En)	SPA_F3(En)	F	18.01	136	7.55	8.32	5.43	62.83 	41.03 
