Speaker	Sex	Language	Text	Duration	NS	SR	ShE	ID	ShIR	IR	Age
YUE_F3(Ce)	F	YUE	O2	13.65	80	5.86	7.97	6.53	46.71	38.3	23
YUE_F3(Ce)	F	YUE	O3	17.41	96	5.51	7.97	6.53	43.95	36.03	23
YUE_F3(Ce)	F	YUE	O4	12.64	69	5.46	7.97	6.53	43.51	35.67	23
YUE_F3(Ce)	F	YUE	O6	14.08	80	5.68	7.97	6.53	45.28	37.13	23
YUE_F3(Ce)	F	YUE	O8	14.91	92	6.17	7.97	6.53	49.18	40.32	23
YUE_F3(Ce)	F	YUE	O9	10.29	56	5.44	7.97	6.53	43.37	35.56	23
YUE_F3(Ce)	F	YUE	P0	18.22	102	5.6	7.97	6.53	44.62	36.58	23
YUE_F3(Ce)	F	YUE	P1	14.89	88	5.91	7.97	6.53	47.1	38.62	23
YUE_F3(Ce)	F	YUE	P2	13.84	78	5.64	7.97	6.53	44.92	36.83	23
YUE_F3(Ce)	F	YUE	P3	15.82	83	5.25	7.97	6.53	41.81	34.28	23
YUE_F3(Ce)	F	YUE	P8	14.38	77	5.35	7.97	6.53	42.68	34.99	23
YUE_F3(Ce)	F	YUE	P9	16.24	90	5.54	7.97	6.53	44.17	36.21	23
YUE_F3(Ce)	F	YUE	Q0	16.32	88	5.39	7.97	6.53	42.98	35.24	23
YUE_F3(Ce)	F	YUE	Q1	13.17	73	5.54	7.97	6.53	44.18	36.22	23
YUE_F5(Ye)	F	YUE	O1	11.59	59	5.09	7.97	6.53	40.57	33.27	24
YUE_F5(Ye)	F	YUE	O2	15.46	80	5.17	7.97	6.53	41.24	33.81	24
YUE_F5(Ye)	F	YUE	O3	18.62	96	5.16	7.97	6.53	41.09	33.69	24
YUE_F5(Ye)	F	YUE	O4	14.49	69	4.76	7.97	6.53	37.95	31.12	24
YUE_F5(Ye)	F	YUE	O6	15.8	80	5.06	7.97	6.53	40.35	33.09	24
YUE_F5(Ye)	F	YUE	O8	16.06	92	5.73	7.97	6.53	45.66	37.43	24
YUE_F5(Ye)	F	YUE	O9	11.27	56	4.97	7.97	6.53	39.6	32.47	24
YUE_F5(Ye)	F	YUE	P0	18.93	102	5.39	7.97	6.53	42.94	35.21	24
YUE_F5(Ye)	F	YUE	P1	18.04	88	4.88	7.97	6.53	38.88	31.88	24
YUE_F5(Ye)	F	YUE	P2	14.9	78	5.23	7.97	6.53	41.72	34.21	24
YUE_F5(Ye)	F	YUE	P3	17.01	83	4.88	7.97	6.53	38.89	31.89	24
YUE_F5(Ye)	F	YUE	P8	15.94	77	4.83	7.97	6.53	38.5	31.57	24
YUE_F5(Ye)	F	YUE	P9	17.04	90	5.28	7.97	6.53	42.1	34.51	24
YUE_F5(Ye)	F	YUE	Q0	17.02	88	5.17	7.97	6.53	41.21	33.79	24
YUE_F5(Ye)	F	YUE	Q1	13.45	73	5.43	7.97	6.53	43.26	35.47	24
YUE_F6(Tra)	F	YUE	O1	9.76	59	6.05	7.97	6.53	48.18	39.5	21
YUE_F6(Tra)	F	YUE	O2	14.27	80	5.61	7.97	6.53	44.68	36.63	21
YUE_F6(Tra)	F	YUE	O4	12.72	69	5.42	7.97	6.53	43.23	35.45	21
YUE_F6(Tra)	F	YUE	O6	13.16	80	6.08	7.97	6.53	48.45	39.72	21
YUE_F6(Tra)	F	YUE	O8	14.55	92	6.32	7.97	6.53	50.39	41.32	21
YUE_F6(Tra)	F	YUE	O9	10.53	56	5.32	7.97	6.53	42.39	34.75	21
YUE_F6(Tra)	F	YUE	P0	18.6	102	5.48	7.97	6.53	43.71	35.84	21
YUE_F6(Tra)	F	YUE	P1	15.94	88	5.52	7.97	6.53	44	36.08	21
YUE_F6(Tra)	F	YUE	P2	12.68	78	6.15	7.97	6.53	49.03	40.2	21
YUE_F6(Tra)	F	YUE	P3	15.26	83	5.44	7.97	6.53	43.35	35.54	21
YUE_F6(Tra)	F	YUE	P8	16.26	77	4.74	7.97	6.53	37.74	30.94	21
YUE_F6(Tra)	F	YUE	P9	16.4	90	5.49	7.97	6.53	43.74	35.86	21
YUE_F6(Tra)	F	YUE	Q0	15.03	88	5.85	7.97	6.53	46.66	38.26	21
YUE_F6(Tra)	F	YUE	Q1	12.44	73	5.87	7.97	6.53	46.77	38.35	21
YUE_M2(Ka)	M	YUE	O1	9.6	59	6.15	7.97	6.53	48.98	40.16	20
